"Dim1","Dim2","Dim3","Dim4","Val"
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE215","NoFlexNoConstraints","pv",2.267402
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE216","FlexNoConstraints","ev",2.79117879
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE216","NoFlexNoConstraints","pv",0.840086
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE217","FlexNoConstraints","ev",0.82404513
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE217","FlexNoConstraints","pv",1.29926558
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE217","NoFlexNoConstraints","pv",1.251478
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE218","FlexNoConstraints","ev",1.58104093
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE218","FlexNoConstraints","pv",2.6506126
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE218","NoFlexNoConstraints","pv",2.732612
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE219","FlexNoConstraints","ev",1.28660288
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE219","FlexNoConstraints","pv",1.79636085
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE219","NoFlexNoConstraints","pv",1.911438
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21A","FlexNoConstraints","ev",1.40406982
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21A","FlexNoConstraints","pv",1.73799311
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21A","NoFlexNoConstraints","pv",1.824836
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21B","FlexNoConstraints","ev",1.03955749
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21B","FlexNoConstraints","pv",2.70623982
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21B","NoFlexNoConstraints","pv",2.769054
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21C","FlexNoConstraints","ev",1.17964813
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21C","FlexNoConstraints","pv",2.12540624
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21C","NoFlexNoConstraints","pv",2.129334
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21D","FlexNoConstraints","ev",1.05735113
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21D","FlexNoConstraints","pv",1.92805897
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21D","NoFlexNoConstraints","pv",2.006378
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21E","FlexNoConstraints","ev",3.38435006
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21E","NoFlexNoConstraints","pv",1.041434
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21F","FlexNoConstraints","ev",1.08530661
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21F","FlexNoConstraints","pv",1.62161336
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21F","NoFlexNoConstraints","pv",1.62127
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21G","FlexNoConstraints","ev",0.8949046
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21G","FlexNoConstraints","pv",3.69253963
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21G","NoFlexNoConstraints","pv",4.34662
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21I","FlexNoConstraints","pv",6.75639475
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21I","NoFlexNoConstraints","pv",6.795846
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21J","FlexNoConstraints","ev",1.24212612
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21J","FlexNoConstraints","pv",1.43567845
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21J","NoFlexNoConstraints","pv",1.441016
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21K","FlexNoConstraints","ev",3.28415865
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21K","FlexNoConstraints","pv",5.04739324
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21K","NoFlexNoConstraints","pv",5.105918
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21L","FlexNoConstraints","ev",0.21327734
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21L","FlexNoConstraints","pv",2.58270428
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21L","NoFlexNoConstraints","pv",2.535104
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21M","FlexNoConstraints","ev",2.52293706
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21M","FlexNoConstraints","pv",3.49842299
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21M","NoFlexNoConstraints","pv",4.00722
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21N","FlexNoConstraints","ev",2.16065369
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21N","FlexNoConstraints","pv",2.47496008
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE21N","NoFlexNoConstraints","pv",2.784962
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE224","FlexNoConstraints","pv",6.35026299
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE224","NoFlexNoConstraints","pv",6.34903
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE225","FlexNoConstraints","ev",0.78127276
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE225","FlexNoConstraints","pv",3.88583121
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE225","NoFlexNoConstraints","pv",4.692758
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE226","FlexNoConstraints","ev",1.12985102
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE226","FlexNoConstraints","pv",2.87796602
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE226","NoFlexNoConstraints","pv",3.035596
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE227","FlexNoConstraints","ev",2.44600588
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE227","FlexNoConstraints","pv",4.55142139
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE227","NoFlexNoConstraints","pv",5.087724
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE228","FlexNoConstraints","ev",1.78225366
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE228","FlexNoConstraints","pv",4.50086246
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE228","NoFlexNoConstraints","pv",4.9329
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE229","FlexNoConstraints","ev",0.61518452
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE229","FlexNoConstraints","pv",3.03648435
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE229","NoFlexNoConstraints","pv",3.552742
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE22A","FlexNoConstraints","ev",0.96756835
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE22A","FlexNoConstraints","pv",4.10131136
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE22A","NoFlexNoConstraints","pv",4.745658
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE22B","FlexNoConstraints","ev",1.70619482
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE22B","FlexNoConstraints","pv",1.91988251
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE22B","NoFlexNoConstraints","pv",2.081748
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE22C","FlexNoConstraints","ev",0.87247591
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE22C","FlexNoConstraints","pv",2.57205685
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE22C","NoFlexNoConstraints","pv",2.868686
