label,Ort,Gemeindeschluessel,Gemeinde,Bundesland,Landkreis
Altentreptow,Altentreptow,13071004,Altentreptow,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte
Alterkülz,Alterkülz,07140001,Alterkülz,Rheinland-Pfalz,Rhein-Hunsrück-Kreis
"Altertheim (Main-Tauber-Kreis, Baden-Württemberg)",Altertheim,08128045,Großrinderfeld,Baden-Württemberg,Main-Tauber-Kreis
"Altertheim (Würzburg, Bayern)",Altertheim,09679165,Altertheim,Bayern,Würzburg
Altfraunhofen,Altfraunhofen,09274114,Altfraunhofen,Bayern,Landshut
Altfriesack,Altfriesack,12068117,Fehrbellin,Brandenburg,Ostprignitz-Ruppin
Althegnenberg,Althegnenberg,09179114,Althegnenberg,Bayern,Fürstenfeldbruck
"Altheim (Alb-Donau-Kreis, Baden-Württemberg) [08425004]",Altheim,08425004,Altheim,Baden-Württemberg,Alb-Donau-Kreis
"Altheim (Alb-Donau-Kreis, Baden-Württemberg) [08425005]",Altheim,08425005,Altheim (Alb),Baden-Württemberg,Alb-Donau-Kreis
"Altheim (Biberach, Baden-Württemberg)",Altheim,08426008,Altheim,Baden-Württemberg,Biberach
Althengstett,Althengstett,08235007,Althengstett,Baden-Württemberg,Calw
Althornbach,Althornbach,07340201,Althornbach,Rheinland-Pfalz,Südwestpfalz
Althütte,Althütte,08119004,Althütte,Baden-Württemberg,Rems-Murr-Kreis
"Althüttendorf (Barnim, Brandenburg) [12060012]",Althüttendorf,12060012,Althüttendorf,Brandenburg,Barnim
"Althüttendorf (Barnim, Brandenburg) [12060100]",Althüttendorf,12060100,Joachimsthal,Brandenburg,Barnim
Altkalen,Altkalen,13072004,Altkalen,Mecklenburg-Vorpommern,Rostock
Altlandsberg,Altlandsberg,12064029,Altlandsberg,Brandenburg,Märkisch-Oderland
Altlay,Altlay,07135003,Altlay,Rheinland-Pfalz,Cochem-Zell
Altleiningen,Altleiningen,07332001,Altleiningen,Rheinland-Pfalz,Bad Dürkheim
"Altlußheim (Karlsruhe, Baden-Württemberg)",Altlußheim,08215107,Oberhausen-Rheinhausen,Baden-Württemberg,Karlsruhe
"Altlußheim (Rhein-Neckar-Kreis, Baden-Württemberg)",Altlußheim,08226003,Altlußheim,Baden-Württemberg,Rhein-Neckar-Kreis
Altmannstein,Altmannstein,09176112,Altmannstein,Bayern,Eichstätt
Altmittweida,Altmittweida,14522010,Altmittweida,Sachsen,Mittelsachsen
Altmärkische Höhe,Altmärkische Höhe,15090007,Altmärkische Höhe,Sachsen-Anhalt,Stendal
Altmärkische Wische,Altmärkische Wische,15090008,Altmärkische Wische,Sachsen-Anhalt,Stendal
Altomünster,Altomünster,09174111,Altomünster,Bayern,Dachau
Altrich,Altrich,07231001,Altrich,Rheinland-Pfalz,Bernkastel-Wittlich
Altrip,Altrip,07338001,Altrip,Rheinland-Pfalz,Rhein-Pfalz-Kreis
Altscheid,Altscheid,07232003,Altscheid,Rheinland-Pfalz,Eifelkreis Bitburg-Prüm
Altshausen,Altshausen,08436005,Altshausen,Baden-Württemberg,Ravensburg
Altstrimmig,Altstrimmig,07135004,Altstrimmig,Rheinland-Pfalz,Cochem-Zell
Altusried,Altusried,09780112,Altusried,Bayern,Oberallgäu
Altwarp,Altwarp,13075003,Altwarp,Mecklenburg-Vorpommern,Vorpommern-Greifswald
Altweidelbach,Altweidelbach,07140002,Altweidelbach,Rheinland-Pfalz,Rhein-Hunsrück-Kreis
Altwigshagen,Altwigshagen,13075004,Altwigshagen,Mecklenburg-Vorpommern,Vorpommern-Greifswald
Altwittenbek,Altwittenbek,01058112,Neuwittenbek,Schleswig-Holstein,Rendsburg-Eckernförde
Altötting,Altötting,09171111,Altötting,Bayern,Altötting
Alveslohe,Alveslohe,01060002,Alveslohe,Schleswig-Holstein,Segeberg
Alzenau,Alzenau,09671111,Alzenau,Bayern,Aschaffenburg
Alzey,Alzey,07331003,Alzey,Rheinland-Pfalz,Alzey-Worms
"Am Ettersberg (Weimarer Land, Thüringen) [16071007]",Am Ettersberg,16071007,Berlstedt,Thüringen,Weimarer Land
