label,Ort,Gemeindeschluessel,Gemeinde,Bundesland,Landkreis
Bad Bevensen,Bad Bevensen,03360002,Bad Bevensen,Niedersachsen,Uelzen
Bad Bibra,Bad Bibra,15084015,Bad Bibra,Sachsen-Anhalt,Burgenlandkreis
Bad Bocklet,Bad Bocklet,09672112,Bad Bocklet,Bayern,Bad Kissingen
Bad Bodenteich,Bad Bodenteich,03360005,Bad Bodenteich,Niedersachsen,Uelzen
Bad Camberg,Bad Camberg,06533003,Bad Camberg,Hessen,Limburg-Weilburg
Bad Ditzenbach,Bad Ditzenbach,08117006,Bad Ditzenbach,Baden-Württemberg,Göppingen
Bad Driburg,Bad Driburg,05762004,Bad Driburg,Nordrhein-Westfalen,Höxter
Bad Dürrenberg,Bad Dürrenberg,15088020,Bad Dürrenberg,Sachsen-Anhalt,Saalekreis
Bad Emstal,Bad Emstal,06633006,Bad Emstal,Hessen,Kassel
Bad Endbach,Bad Endbach,06534003,Bad Endbach,Hessen,Marburg-Biedenkopf
Bad Essen,Bad Essen,03459003,Bad Essen,Niedersachsen,Osnabrück
Bad Fallingbostel,Bad Fallingbostel,03358008,Bad Fallingbostel,Niedersachsen,Heidekreis
Bad Freienwalde,Bad Freienwalde,12064044,Bad Freienwalde (Oder),Brandenburg,Märkisch-Oderland
Bad Gandersheim,Bad Gandersheim,03155001,Bad Gandersheim,Niedersachsen,Northeim
Bad Gottleuba-Berggießhübel,Bad Gottleuba-Berggießhübel,14628020,Bad Gottleuba-Berggießhübel,Sachsen,Sächsische Schweiz-Osterzgebirge
Bad Harzburg,Bad Harzburg,03153002,Bad Harzburg,Niedersachsen,Goslar
Bad Hersfeld,Bad Hersfeld,06632002,Bad Hersfeld,Hessen,Hersfeld-Rotenburg
Bad Iburg,Bad Iburg,03459004,Bad Iburg,Niedersachsen,Osnabrück
Bad Kissingen,Bad Kissingen,09672114,Bad Kissingen,Bayern,Bad Kissingen
Bad König,Bad König,06437001,Bad König,Hessen,Odenwaldkreis
Bad Kötzting,Bad Kötzting,09372137,Bad Kötzting,Bayern,Cham
Bad Laasphe,Bad Laasphe,05970028,Bad Laasphe,Nordrhein-Westfalen,Siegen-Wittgenstein
