year,caps,grid,nuts,val
2030,5,LV2,DE138,2.063877841976815e-05
2030,5,LV2,DE139,2.5561361034830858e-05
2030,5,LV2,DE13A,2.810269875434241e-05
2030,5,LV2,DE141,4.554469371307353e-05
2030,5,LV2,DE142,8.916566458490107e-06
2030,5,LV2,DE143,2.269095346738597e-05
2030,5,LV2,DE144,1.8416412749795474e-05
2030,5,LV2,DE145,3.5156017300781284e-05
2030,5,LV2,DE146,2.87988165998024e-05
2030,5,LV2,DE147,2.2909396167528935e-05
2030,5,LV2,DE148,3.530039839603644e-05
2030,5,LV2,DE149,2.3533635810889303e-05
2030,5,LV2,DE211,3.662241958994978e-05
2030,5,LV2,DE212,0.0
2030,5,LV2,DE213,0.0
2030,5,LV2,DE214,2.56546980293618e-05
2030,5,LV2,DE215,1.9669588498701543e-05
2030,5,LV2,DE216,2.8799661255177815e-05
2030,5,LV2,DE217,1.7390104077968203e-05
2030,5,LV2,DE218,2.783081988001025e-05
2030,5,LV2,DE219,3.47037811182302e-05
2030,5,LV2,DE21A,2.8161503451076235e-05
2030,5,LV2,DE21B,3.4864105983242504e-05
2030,5,LV2,DE21C,2.954646829040579e-05
2030,5,LV2,DE21D,2.2095033039259636e-05
2030,5,LV2,DE21E,3.486942603247005e-05
2030,5,LV2,DE21F,2.4048928086919898e-05
2030,5,LV2,DE21G,2.6338243678763522e-05
2030,5,LV2,DE21H,6.174084980473918e-05
2030,5,LV2,DE21I,2.347286998985891e-05
2030,5,LV2,DE21J,2.4669735088097828e-05
2030,5,LV2,DE21K,6.384927478120997e-05
2030,5,LV2,DE21L,2.0548178121158692e-05
2030,5,LV2,DE21M,4.212628680760189e-05
2030,5,LV2,DE21N,3.437693685498775e-05
2030,5,LV2,DE221,0.0
2030,5,LV2,DE222,0.0
2030,5,LV2,DE223,0.0
2030,5,LV2,DE224,2.5525626839926486e-05
2030,5,LV2,DE225,2.279868042052866e-05
2030,5,LV2,DE226,2.690450648410786e-05
2030,5,LV2,DE227,4.571629524268712e-05
2030,5,LV2,DE228,4.492297866315661e-05
2030,5,LV2,DE229,2.1704645514795063e-05
2030,5,LV2,DE22A,3.2486528553027694e-05
2030,5,LV2,DE22B,3.131330037392455e-05
2030,5,LV2,DE22C,2.5491450272462203e-05
2030,5,LV2,DE231,0.0
2030,5,LV2,DE232,2.3449117020124183e-05
2030,5,LV2,DE233,7.294635551497462e-07
2030,5,LV2,DE234,2.918443089229071e-05
2030,5,LV2,DE235,3.6965696691508875e-05
2030,5,LV2,DE236,2.5634685216111213e-05
2030,5,LV2,DE237,2.7834187028499443e-05
2030,5,LV2,DE238,4.5369945417939674e-05
2030,5,LV2,DE239,2.839136504529693e-05
2030,5,LV2,DE23A,1.9132176034095316e-05
2030,5,LV2,DE241,0.0
2030,5,LV2,DE242,0.0
2030,5,LV2,DE243,0.0
2030,5,LV2,DE244,0.0
2030,5,LV2,DE245,3.8765931006644884e-05
2030,5,LV2,DE246,2.8338305028007574e-05
2030,5,LV2,DE247,2.3607084358160427e-05
2030,5,LV2,DE248,2.8578975969235543e-05
2030,5,LV2,DE249,2.5320311084457973e-05
2030,5,LV2,DE24A,1.8802418228741482e-05
