flex,year,run,h,val
baseFlex,2030,NoFlexNoConstraints,h0156,3157.855
baseFlex,2030,NoFlexNoConstraints,h0157,3422.1666
baseFlex,2030,NoFlexNoConstraints,h0158,4647.0427
baseFlex,2030,NoFlexNoConstraints,h0159,5482.8878
baseFlex,2030,NoFlexNoConstraints,h0160,6387.2221
baseFlex,2030,NoFlexNoConstraints,h0161,8675.1367
baseFlex,2030,NoFlexNoConstraints,h0162,9804.53
baseFlex,2030,NoFlexNoConstraints,h0163,10281.627
baseFlex,2030,NoFlexNoConstraints,h0164,7716.8007
baseFlex,2030,NoFlexNoConstraints,h0165,5348.9699
baseFlex,2030,NoFlexNoConstraints,h0166,3999.5894
baseFlex,2030,NoFlexNoConstraints,h0167,3317.8712
baseFlex,2030,NoFlexNoConstraints,h0168,1761.1074
baseFlex,2030,NoFlexNoConstraints,h0169,46.5835
baseFlex,2030,NoFlexNoConstraints,h0170,81.0996
baseFlex,2030,NoFlexNoConstraints,h0171,0.0
baseFlex,2030,NoFlexNoConstraints,h0172,31.1176
baseFlex,2030,NoFlexNoConstraints,h0173,21.6868
baseFlex,2030,NoFlexNoConstraints,h0174,27.4325
baseFlex,2030,NoFlexNoConstraints,h0175,80.3474
baseFlex,2030,NoFlexNoConstraints,h0176,255.087
baseFlex,2030,NoFlexNoConstraints,h0177,454.2482
baseFlex,2030,NoFlexNoConstraints,h0178,748.5238
baseFlex,2030,NoFlexNoConstraints,h0179,1339.5765
baseFlex,2030,NoFlexNoConstraints,h0180,2548.7163
baseFlex,2030,NoFlexNoConstraints,h0181,3907.7549
baseFlex,2030,NoFlexNoConstraints,h0182,5367.1481
baseFlex,2030,NoFlexNoConstraints,h0183,5570.6213
baseFlex,2030,NoFlexNoConstraints,h0184,5919.1721
baseFlex,2030,NoFlexNoConstraints,h0185,9033.7812
baseFlex,2030,NoFlexNoConstraints,h0186,10731.8297
baseFlex,2030,NoFlexNoConstraints,h0187,10032.7298
baseFlex,2030,NoFlexNoConstraints,h0188,8295.1334
baseFlex,2030,NoFlexNoConstraints,h0189,5014.4942
baseFlex,2030,NoFlexNoConstraints,h0190,3707.8717
baseFlex,2030,NoFlexNoConstraints,h0191,2908.575
baseFlex,2030,NoFlexNoConstraints,h0192,2060.9254
baseFlex,2030,NoFlexNoConstraints,h0193,21.5422
baseFlex,2030,NoFlexNoConstraints,h0194,37.9622
baseFlex,2030,NoFlexNoConstraints,h0195,59.9997
baseFlex,2030,NoFlexNoConstraints,h0196,16.7437
baseFlex,2030,NoFlexNoConstraints,h0197,16.7691
baseFlex,2030,NoFlexNoConstraints,h0198,27.4043
baseFlex,2030,NoFlexNoConstraints,h0199,180.1993
baseFlex,2030,NoFlexNoConstraints,h0200,192.0543
baseFlex,2030,NoFlexNoConstraints,h0201,351.1049
baseFlex,2030,NoFlexNoConstraints,h0202,984.6945
baseFlex,2030,NoFlexNoConstraints,h0203,1902.2595
baseFlex,2030,NoFlexNoConstraints,h0204,2863.8485
baseFlex,2030,NoFlexNoConstraints,h0205,4161.7325
baseFlex,2030,NoFlexNoConstraints,h0206,4073.2404
baseFlex,2030,NoFlexNoConstraints,h0207,5566.5142
baseFlex,2030,NoFlexNoConstraints,h0208,6932.9929
baseFlex,2030,NoFlexNoConstraints,h0209,8754.1097
baseFlex,2030,NoFlexNoConstraints,h0210,9943.5414
baseFlex,2030,NoFlexNoConstraints,h0211,9404.0033
baseFlex,2030,NoFlexNoConstraints,h0212,7546.3994
baseFlex,2030,NoFlexNoConstraints,h0213,5632.5758
baseFlex,2030,NoFlexNoConstraints,h0214,3693.1181
baseFlex,2030,NoFlexNoConstraints,h0215,3019.0383
baseFlex,2030,NoFlexNoConstraints,h0216,1924.6258
baseFlex,2030,NoFlexNoConstraints,h0217,0.0
baseFlex,2030,NoFlexNoConstraints,h0218,60.2185
baseFlex,2030,NoFlexNoConstraints,h0219,0.0
baseFlex,2030,NoFlexNoConstraints,h0220,0.0
baseFlex,2030,NoFlexNoConstraints,h0221,0.0
baseFlex,2030,NoFlexNoConstraints,h0222,23.4964
baseFlex,2030,NoFlexNoConstraints,h0223,191.901
baseFlex,2030,NoFlexNoConstraints,h0224,290.1545
baseFlex,2030,NoFlexNoConstraints,h0225,747.9949
baseFlex,2030,NoFlexNoConstraints,h0226,919.5723
baseFlex,2030,NoFlexNoConstraints,h0227,1954.9448
baseFlex,2030,NoFlexNoConstraints,h0228,3191.9265
baseFlex,2030,NoFlexNoConstraints,h0229,4216.7799
baseFlex,2030,NoFlexNoConstraints,h0230,4935.8099
baseFlex,2030,NoFlexNoConstraints,h0231,5604.277
baseFlex,2030,NoFlexNoConstraints,h0232,6123.1037
baseFlex,2030,NoFlexNoConstraints,h0233,8372.1146
baseFlex,2030,NoFlexNoConstraints,h0234,11595.6881
baseFlex,2030,NoFlexNoConstraints,h0235,11546.5817
baseFlex,2030,NoFlexNoConstraints,h0236,8200.2186
baseFlex,2030,NoFlexNoConstraints,h0237,5100.3678
baseFlex,2030,NoFlexNoConstraints,h0238,3177.9055
baseFlex,2030,NoFlexNoConstraints,h0239,2953.0995
baseFlex,2030,NoFlexNoConstraints,h0240,1772.8452
baseFlex,2030,NoFlexNoConstraints,h0241,84.4741
baseFlex,2030,NoFlexNoConstraints,h0242,143.9473
baseFlex,2030,NoFlexNoConstraints,h0243,89.9562
baseFlex,2030,NoFlexNoConstraints,h0244,50.5854
baseFlex,2030,NoFlexNoConstraints,h0245,96.8077
baseFlex,2030,NoFlexNoConstraints,h0246,35.0186
baseFlex,2030,NoFlexNoConstraints,h0247,137.3014
baseFlex,2030,NoFlexNoConstraints,h0248,98.7067
baseFlex,2030,NoFlexNoConstraints,h0249,474.0652
baseFlex,2030,NoFlexNoConstraints,h0250,922.34
baseFlex,2030,NoFlexNoConstraints,h0251,1636.0226
baseFlex,2030,NoFlexNoConstraints,h0252,2378.4877
baseFlex,2030,NoFlexNoConstraints,h0253,3738.6918
baseFlex,2030,NoFlexNoConstraints,h0254,3935.9354
baseFlex,2030,NoFlexNoConstraints,h0255,5195.8264
baseFlex,2030,NoFlexNoConstraints,h0256,6171.4704
baseFlex,2030,NoFlexNoConstraints,h0257,9544.3796
baseFlex,2030,NoFlexNoConstraints,h0258,11352.9855
baseFlex,2030,NoFlexNoConstraints,h0259,10891.3962
baseFlex,2030,NoFlexNoConstraints,h0260,7597.1983
baseFlex,2030,NoFlexNoConstraints,h0261,5093.3173
baseFlex,2030,NoFlexNoConstraints,h0262,3872.3893
baseFlex,2030,NoFlexNoConstraints,h0263,3248.0426
baseFlex,2030,NoFlexNoConstraints,h0264,1990.5601
baseFlex,2030,NoFlexNoConstraints,h0265,14.032
baseFlex,2030,NoFlexNoConstraints,h0266,62.702
baseFlex,2030,NoFlexNoConstraints,h0267,98.2967
baseFlex,2030,NoFlexNoConstraints,h0268,62.463
baseFlex,2030,NoFlexNoConstraints,h0269,53.6456
baseFlex,2030,NoFlexNoConstraints,h0270,0.0
baseFlex,2030,NoFlexNoConstraints,h0271,201.5991
baseFlex,2030,NoFlexNoConstraints,h0272,201.8461
baseFlex,2030,NoFlexNoConstraints,h0273,483.1797
baseFlex,2030,NoFlexNoConstraints,h0274,1045.9985
baseFlex,2030,NoFlexNoConstraints,h0275,1649.7363
baseFlex,2030,NoFlexNoConstraints,h0276,3227.5782
baseFlex,2030,NoFlexNoConstraints,h0277,3673.8523
baseFlex,2030,NoFlexNoConstraints,h0278,5656.9887
baseFlex,2030,NoFlexNoConstraints,h0279,5732.4994
baseFlex,2030,NoFlexNoConstraints,h0280,6397.9261
baseFlex,2030,NoFlexNoConstraints,h0281,9265.4474
baseFlex,2030,NoFlexNoConstraints,h0282,11353.3341
baseFlex,2030,NoFlexNoConstraints,h0283,10595.3049
baseFlex,2030,NoFlexNoConstraints,h0284,8337.0189
baseFlex,2030,NoFlexNoConstraints,h0285,5729.1419
baseFlex,2030,NoFlexNoConstraints,h0286,3821.0719
baseFlex,2030,NoFlexNoConstraints,h0287,2901.8358
baseFlex,2030,NoFlexNoConstraints,h0288,2138.1246
baseFlex,2030,NoFlexNoConstraints,h0289,50.3836
baseFlex,2030,NoFlexNoConstraints,h0290,18.7733
baseFlex,2030,NoFlexNoConstraints,h0291,30.1635
baseFlex,2030,NoFlexNoConstraints,h0292,0.0
baseFlex,2030,NoFlexNoConstraints,h0293,24.1069
baseFlex,2030,NoFlexNoConstraints,h0294,40.5121
baseFlex,2030,NoFlexNoConstraints,h0295,123.3613
baseFlex,2030,NoFlexNoConstraints,h0296,156.1918
baseFlex,2030,NoFlexNoConstraints,h0297,421.658
baseFlex,2030,NoFlexNoConstraints,h0298,979.5387
baseFlex,2030,NoFlexNoConstraints,h0299,1800.501
baseFlex,2030,NoFlexNoConstraints,h0300,2833.909
baseFlex,2030,NoFlexNoConstraints,h0301,3679.6333
baseFlex,2030,NoFlexNoConstraints,h0302,4677.5978
baseFlex,2030,NoFlexNoConstraints,h0303,5464.2516
baseFlex,2030,NoFlexNoConstraints,h0304,6028.2787
baseFlex,2030,NoFlexNoConstraints,h0305,8413.6529
baseFlex,2030,NoFlexNoConstraints,h0306,10324.7919
baseFlex,2030,NoFlexNoConstraints,h0307,10829.7464
baseFlex,2030,NoFlexNoConstraints,h0308,7640.2266
baseFlex,2030,NoFlexNoConstraints,h0309,5526.1801
baseFlex,2030,NoFlexNoConstraints,h0310,3740.7398
baseFlex,2030,NoFlexNoConstraints,h0311,4123.9738
baseFlex,2030,NoFlexNoConstraints,h0312,2501.0295
baseFlex,2030,NoFlexNoConstraints,h0313,36.3704
baseFlex,2030,NoFlexNoConstraints,h0314,41.4234
baseFlex,2030,NoFlexNoConstraints,h0315,44.7288
baseFlex,2030,NoFlexNoConstraints,h0316,101.8443
baseFlex,2030,NoFlexNoConstraints,h0317,32.7888
baseFlex,2030,NoFlexNoConstraints,h0318,55.715
baseFlex,2030,NoFlexNoConstraints,h0319,220.5059
baseFlex,2030,NoFlexNoConstraints,h0320,325.3151
baseFlex,2030,NoFlexNoConstraints,h0321,661.4793
baseFlex,2030,NoFlexNoConstraints,h0322,940.0373
baseFlex,2030,NoFlexNoConstraints,h0323,1732.0339
baseFlex,2030,NoFlexNoConstraints,h0324,2926.55
baseFlex,2030,NoFlexNoConstraints,h0325,4265.3394
baseFlex,2030,NoFlexNoConstraints,h0326,4795.4963
baseFlex,2030,NoFlexNoConstraints,h0327,5403.0595
baseFlex,2030,NoFlexNoConstraints,h0328,5446.3765
baseFlex,2030,NoFlexNoConstraints,h0329,8861.418
baseFlex,2030,NoFlexNoConstraints,h0330,10381.8034
baseFlex,2030,NoFlexNoConstraints,h0331,9933.0356
baseFlex,2030,NoFlexNoConstraints,h0332,7749.9296
baseFlex,2030,NoFlexNoConstraints,h0333,5798.9213
baseFlex,2030,NoFlexNoConstraints,h0334,4172.3644
baseFlex,2030,NoFlexNoConstraints,h0335,2997.313
baseFlex,2030,NoFlexNoConstraints,h0336,2119.881
baseFlex,2030,NoFlexNoConstraints,h0337,0.0
baseFlex,2030,NoFlexNoConstraints,h0338,73.8727
baseFlex,2030,NoFlexNoConstraints,h0339,45.5699
baseFlex,2030,NoFlexNoConstraints,h0340,28.6433
baseFlex,2030,NoFlexNoConstraints,h0341,66.396
baseFlex,2030,NoFlexNoConstraints,h0342,32.325
baseFlex,2030,NoFlexNoConstraints,h0343,78.8227
baseFlex,2030,NoFlexNoConstraints,h0344,330.4782
baseFlex,2030,NoFlexNoConstraints,h0345,584.8247
baseFlex,2030,NoFlexNoConstraints,h0346,875.0101
baseFlex,2030,NoFlexNoConstraints,h0347,1395.2847
baseFlex,2030,NoFlexNoConstraints,h0348,2659.7444
baseFlex,2030,NoFlexNoConstraints,h0349,3623.8271
baseFlex,2030,NoFlexNoConstraints,h0350,4665.6321
baseFlex,2030,NoFlexNoConstraints,h0351,5156.6754
baseFlex,2030,NoFlexNoConstraints,h0352,6373.097
baseFlex,2030,NoFlexNoConstraints,h0353,9317.484
baseFlex,2030,NoFlexNoConstraints,h0354,10988.6707
baseFlex,2030,NoFlexNoConstraints,h0355,10931.3295
baseFlex,2030,NoFlexNoConstraints,h0356,8170.9488
baseFlex,2030,NoFlexNoConstraints,h0357,5054.0624
baseFlex,2030,NoFlexNoConstraints,h0358,4517.1797
baseFlex,2030,NoFlexNoConstraints,h0359,3521.2618
baseFlex,2030,NoFlexNoConstraints,h0360,2476.0889
baseFlex,2030,NoFlexNoConstraints,h0361,67.1357
baseFlex,2030,NoFlexNoConstraints,h0362,113.7389
baseFlex,2030,NoFlexNoConstraints,h0363,55.9681
baseFlex,2030,NoFlexNoConstraints,h0364,64.6585
baseFlex,2030,NoFlexNoConstraints,h0365,50.3998
baseFlex,2030,NoFlexNoConstraints,h0366,52.6046
baseFlex,2030,NoFlexNoConstraints,h0367,140.7525
baseFlex,2030,NoFlexNoConstraints,h0368,42.6049
baseFlex,2030,NoFlexNoConstraints,h0369,507.0327
baseFlex,2030,NoFlexNoConstraints,h0370,949.0644
baseFlex,2030,NoFlexNoConstraints,h0371,1808.5152
baseFlex,2030,NoFlexNoConstraints,h0372,2914.9825
baseFlex,2030,NoFlexNoConstraints,h0373,4238.6089
baseFlex,2030,NoFlexNoConstraints,h0374,4806.2112
baseFlex,2030,NoFlexNoConstraints,h0375,5598.2755
baseFlex,2030,NoFlexNoConstraints,h0376,6288.5849
baseFlex,2030,NoFlexNoConstraints,h0377,9213.8365
baseFlex,2030,NoFlexNoConstraints,h0378,9448.5285
baseFlex,2030,NoFlexNoConstraints,h0379,9514.6976
baseFlex,2030,NoFlexNoConstraints,h0380,7303.4916
baseFlex,2030,NoFlexNoConstraints,h0381,4600.7594
baseFlex,2030,NoFlexNoConstraints,h0382,3497.6231
baseFlex,2030,NoFlexNoConstraints,h0383,2742.4263
baseFlex,2030,NoFlexNoConstraints,h0384,1699.952
baseFlex,2030,NoFlexNoConstraints,h0385,29.7629
baseFlex,2030,NoFlexNoConstraints,h0386,19.5379
baseFlex,2030,NoFlexNoConstraints,h0387,33.9799
baseFlex,2030,NoFlexNoConstraints,h0388,0.0
baseFlex,2030,NoFlexNoConstraints,h0389,8.1902
baseFlex,2030,NoFlexNoConstraints,h0390,0.0
baseFlex,2030,NoFlexNoConstraints,h0391,169.6346
baseFlex,2030,NoFlexNoConstraints,h0392,200.8364
baseFlex,2030,NoFlexNoConstraints,h0393,290.8674
baseFlex,2030,NoFlexNoConstraints,h0394,864.1347
baseFlex,2030,NoFlexNoConstraints,h0395,1435.2988
baseFlex,2030,NoFlexNoConstraints,h0396,2820.2359
baseFlex,2030,NoFlexNoConstraints,h0397,3734.9101
baseFlex,2030,NoFlexNoConstraints,h0398,4405.8767
baseFlex,2030,NoFlexNoConstraints,h0399,5038.4228
baseFlex,2030,NoFlexNoConstraints,h0400,6405.0499
baseFlex,2030,NoFlexNoConstraints,h0401,9167.8631
baseFlex,2030,NoFlexNoConstraints,h0402,10956.0102
baseFlex,2030,NoFlexNoConstraints,h0403,11377.6761
baseFlex,2030,NoFlexNoConstraints,h0404,8912.3332
baseFlex,2030,NoFlexNoConstraints,h0405,5645.5508
baseFlex,2030,NoFlexNoConstraints,h0406,3334.7063
baseFlex,2030,NoFlexNoConstraints,h0407,2489.3508
baseFlex,2030,NoFlexNoConstraints,h0408,1977.1925
baseFlex,2030,NoFlexNoConstraints,h0409,0.0
baseFlex,2030,NoFlexNoConstraints,h0410,187.7225
baseFlex,2030,NoFlexNoConstraints,h0411,87.0867
baseFlex,2030,NoFlexNoConstraints,h0412,0.0
baseFlex,2030,NoFlexNoConstraints,h0413,8.4633
baseFlex,2030,NoFlexNoConstraints,h0414,18.6879
baseFlex,2030,NoFlexNoConstraints,h0415,61.0714
baseFlex,2030,NoFlexNoConstraints,h0416,197.7024
baseFlex,2030,NoFlexNoConstraints,h0417,638.5476
baseFlex,2030,NoFlexNoConstraints,h0418,1054.6155
baseFlex,2030,NoFlexNoConstraints,h0419,1457.421
baseFlex,2030,NoFlexNoConstraints,h0420,2967.8266
baseFlex,2030,NoFlexNoConstraints,h0421,3690.9844
baseFlex,2030,NoFlexNoConstraints,h0422,4368.4615
baseFlex,2030,NoFlexNoConstraints,h0423,5922.8021
baseFlex,2030,NoFlexNoConstraints,h0424,6342.2554
baseFlex,2030,NoFlexNoConstraints,h0425,8085.8198
baseFlex,2030,NoFlexNoConstraints,h0426,10843.389
baseFlex,2030,NoFlexNoConstraints,h0427,10687.0814
baseFlex,2030,NoFlexNoConstraints,h0428,8301.386
baseFlex,2030,NoFlexNoConstraints,h0429,5430.5665
baseFlex,2030,NoFlexNoConstraints,h0430,4040.247
baseFlex,2030,NoFlexNoConstraints,h0431,3133.6736
baseFlex,2030,NoFlexNoConstraints,h0432,2220.5295
baseFlex,2030,NoFlexNoConstraints,h0433,48.6973
